row index,Country,Project,Status,Location Lat,Location Long,Mine Type,Company,Economic Mineralogy,Principal Process,Column 9,Mt,Column 11,Column 12
19,Madagascar,Ambatovy JV (incl. Anamalay),Operating,,,,"Sherritt, Sumitomo, Korea Resources Corp (KORES)",,,Measured,54.5,%Ni,0.9492844036697247
19,Madagascar,Ambatovy JV (incl. Anamalay),Operating,,,,"Sherritt, Sumitomo, Korea Resources Corp (KORES)",,,Measured,54.5,%Co,0.08
19,Madagascar,Ambatovy JV (incl. Anamalay),Operating,,,,"Sherritt, Sumitomo, Korea Resources Corp (KORES)",,,Indicated,121.8,%Ni,0.9158128078817734
19,Madagascar,Ambatovy JV (incl. Anamalay),Operating,,,,"Sherritt, Sumitomo, Korea Resources Corp (KORES)",,,Indicated,121.8,%Co,0.07842364532019705
19,Madagascar,Ambatovy JV (incl. Anamalay),Operating,,,,"Sherritt, Sumitomo, Korea Resources Corp (KORES)",,,Inferred,52.5,%Ni,0.84
19,Madagascar,Ambatovy JV (incl. Anamalay),Operating,,,,"Sherritt, Sumitomo, Korea Resources Corp (KORES)",,,Inferred,52.5,%Co,0.08
19,Madagascar,Ambatovy JV (incl. Anamalay),Operating,,,,"Sherritt, Sumitomo, Korea Resources Corp (KORES)",,,Proven,49.9,%Ni,0.94
19,Madagascar,Ambatovy JV (incl. Anamalay),Operating,,,,"Sherritt, Sumitomo, Korea Resources Corp (KORES)",,,Proven,49.9,%Co,0.08
19,Madagascar,Ambatovy JV (incl. Anamalay),Operating,,,,"Sherritt, Sumitomo, Korea Resources Corp (KORES)",,,Probable,102.6,%Ni,0.93
19,Madagascar,Ambatovy JV (incl. Anamalay),Operating,,,,"Sherritt, Sumitomo, Korea Resources Corp (KORES)",,,Probable,102.6,%Co,0.08
20,Brazil,Americano do Brasil,Deposit,,,,"Votorantim, Prometalica (?)",,,Inferred,3.09,%Cu,1.02
20,Brazil,Americano do Brasil,Deposit,,,,"Votorantim, Prometalica (?)",,,Inferred,3.09,%Ni,1.12
20,Brazil,Americano do Brasil,Deposit,,,,"Votorantim, Prometalica (?)",,,Inferred,3.09,%Co,0.0662
21,Brazil,Araguaia North / South,Deposit,,,,Horizonte Minerals,,,Measured,18.168,%Ni,1.44
21,Brazil,Araguaia North / South,Deposit,,,,Horizonte Minerals,,,Measured,18.168,%Co,0.05
21,Brazil,Araguaia North / South,Deposit,,,,Horizonte Minerals,,,Measured,18.168,%Fe,16.26
21,Brazil,Araguaia North / South,Deposit,,,,Horizonte Minerals,,,Indicated,101.169,%Ni,1.25
21,Brazil,Araguaia North / South,Deposit,,,,Horizonte Minerals,,,Indicated,101.169,%Co,0.06
21,Brazil,Araguaia North / South,Deposit,,,,Horizonte Minerals,,,Indicated,101.169,%Fe,19.39
21,Brazil,Araguaia North / South,Deposit,,,,Horizonte Minerals,,,Inferred,12.92,%Ni,1.19
21,Brazil,Araguaia North / South,Deposit,,,,Horizonte Minerals,,,Inferred,12.92,%Co,0.06
21,Brazil,Araguaia North / South,Deposit,,,,Horizonte Minerals,,,Inferred,12.92,%Fe,20.21
22,Finland,Arctic-Suhanko,Deposit,,,,CD Capital Management,,,Measured,46.9,%Cu,0.24
22,Finland,Arctic-Suhanko,Deposit,,,,CD Capital Management,,,Measured,46.9,g/t Au,0.16
22,Finland,Arctic-Suhanko,Deposit,,,,CD Capital Management,,,Measured,46.9,%Ni,0.1
22,Finland,Arctic-Suhanko,Deposit,,,,CD Capital Management,,,Measured,46.9,g/t Pt,0.41
22,Finland,Arctic-Suhanko,Deposit,,,,CD Capital Management,,,Measured,46.9,g/t Pd,1.68
22,Finland,Arctic-Suhanko,Deposit,,,,CD Capital Management,,,Indicated,69.9,%Cu,0.22
